"","country","year","sex","age","suicides_no","population"
"292","Antigua and Barbuda",1986,"female","5-14 years",0,6907
"293","Antigua and Barbuda",1986,"female","55-74 years",0,3764
"294","Antigua and Barbuda",1986,"female","75+ years",0,1014
"295","Antigua and Barbuda",1986,"male","15-24 years",0,7563
"296","Antigua and Barbuda",1986,"male","25-34 years",0,6023
"297","Antigua and Barbuda",1986,"male","35-54 years",0,5947
"298","Antigua and Barbuda",1986,"male","5-14 years",0,6827
"299","Antigua and Barbuda",1986,"male","55-74 years",0,2771
"300","Antigua and Barbuda",1986,"male","75+ years",0,476
"301","Antigua and Barbuda",1987,"female","15-24 years",0,7583
"302","Antigua and Barbuda",1987,"female","25-34 years",0,6101
"303","Antigua and Barbuda",1987,"female","35-54 years",0,6059
"304","Antigua and Barbuda",1987,"female","5-14 years",0,6623
"305","Antigua and Barbuda",1987,"female","55-74 years",0,3738
"306","Antigua and Barbuda",1987,"female","75+ years",0,1081
"307","Antigua and Barbuda",1987,"male","15-24 years",0,7421
"308","Antigua and Barbuda",1987,"male","25-34 years",0,5893
"309","Antigua and Barbuda",1987,"male","35-54 years",0,5927
"310","Antigua and Barbuda",1987,"male","5-14 years",0,6499
"311","Antigua and Barbuda",1987,"male","55-74 years",0,2798
"312","Antigua and Barbuda",1987,"male","75+ years",0,538
"313","Antigua and Barbuda",1988,"female","15-24 years",0,7413
"314","Antigua and Barbuda",1988,"female","25-34 years",0,6041
"315","Antigua and Barbuda",1988,"female","35-54 years",0,6021
"316","Antigua and Barbuda",1988,"female","5-14 years",0,6527
"317","Antigua and Barbuda",1988,"female","55-74 years",0,3708
"318","Antigua and Barbuda",1988,"female","75+ years",0,1141
"319","Antigua and Barbuda",1988,"male","15-24 years",0,7209
"320","Antigua and Barbuda",1988,"male","25-34 years",0,5826
"321","Antigua and Barbuda",1988,"male","35-54 years",0,5907
"322","Antigua and Barbuda",1988,"male","5-14 years",0,6355
"323","Antigua and Barbuda",1988,"male","55-74 years",0,2813
"324","Antigua and Barbuda",1988,"male","75+ years",0,603
"325","Antigua and Barbuda",1989,"female","15-24 years",0,7152
"326","Antigua and Barbuda",1989,"female","25-34 years",0,6059
"327","Antigua and Barbuda",1989,"female","35-54 years",0,5969
"328","Antigua and Barbuda",1989,"female","5-14 years",0,6621
"329","Antigua and Barbuda",1989,"female","55-74 years",0,3696
"330","Antigua and Barbuda",1989,"female","75+ years",0,1195
"331","Antigua and Barbuda",1989,"male","15-24 years",0,6927
"332","Antigua and Barbuda",1989,"male","25-34 years",0,5835
"333","Antigua and Barbuda",1989,"male","35-54 years",0,5862
"334","Antigua and Barbuda",1989,"male","5-14 years",0,6403
"335","Antigua and Barbuda",1989,"male","55-74 years",0,2843
"336","Antigua and Barbuda",1989,"male","75+ years",0,676
"337","Antigua and Barbuda",1990,"female","15-24 years",0,6827
"338","Antigua and Barbuda",1990,"female","25-34 years",0,6172
"339","Antigua and Barbuda",1990,"female","35-54 years",0,5895
"340","Antigua and Barbuda",1990,"female","5-14 years",0,6877
"341","Antigua and Barbuda",1990,"female","55-74 years",0,3706
"342","Antigua and Barbuda",1990,"female","75+ years",0,1252
"343","Antigua and Barbuda",1990,"male","15-24 years",0,6598
"344","Antigua and Barbuda",1990,"male","25-34 years",0,5937
"345","Antigua and Barbuda",1990,"male","35-54 years",1,5799
"346","Antigua and Barbuda",1990,"male","5-14 years",0,6611
"347","Antigua and Barbuda",1990,"male","55-74 years",0,2902
"348","Antigua and Barbuda",1990,"male","75+ years",0,758
"349","Antigua and Barbuda",1991,"female","15-24 years",0,6595
"350","Antigua and Barbuda",1991,"female","25-34 years",0,6396
"351","Antigua and Barbuda",1991,"female","35-54 years",0,6198
"352","Antigua and Barbuda",1991,"female","5-14 years",0,7089
"353","Antigua and Barbuda",1991,"female","55-74 years",0,3665
"354","Antigua and Barbuda",1991,"female","75+ years",0,1293
"355","Antigua and Barbuda",1991,"male","15-24 years",0,6401
"356","Antigua and Barbuda",1991,"male","25-34 years",0,6156
"357","Antigua and Barbuda",1991,"male","35-54 years",0,6122
"358","Antigua and Barbuda",1991,"male","5-14 years",0,6818
"359","Antigua and Barbuda",1991,"male","55-74 years",0,2857
"360","Antigua and Barbuda",1991,"male","75+ years",0,804
"361","Antigua and Barbuda",1992,"female","15-24 years",0,6369
"362","Antigua and Barbuda",1992,"female","25-34 years",0,6650
"363","Antigua and Barbuda",1992,"female","35-54 years",0,6534
"364","Antigua and Barbuda",1992,"female","5-14 years",0,7311
"365","Antigua and Barbuda",1992,"female","55-74 years",0,3648
"366","Antigua and Barbuda",1992,"female","75+ years",0,1339
"367","Antigua and Barbuda",1992,"male","15-24 years",0,6221
"368","Antigua and Barbuda",1992,"male","25-34 years",0,6409
"369","Antigua and Barbuda",1992,"male","35-54 years",0,6497
"370","Antigua and Barbuda",1992,"male","5-14 years",0,7059
"371","Antigua and Barbuda",1992,"male","55-74 years",0,2851
"372","Antigua and Barbuda",1992,"male","75+ years",0,853
"373","Antigua and Barbuda",1993,"female","15-24 years",0,6182
"374","Antigua and Barbuda",1993,"female","25-34 years",0,6914
"375","Antigua and Barbuda",1993,"female","35-54 years",0,6917
"376","Antigua and Barbuda",1993,"female","5-14 years",0,7529
"377","Antigua and Barbuda",1993,"female","55-74 years",0,3662
"378","Antigua and Barbuda",1993,"female","75+ years",0,1386
"379","Antigua and Barbuda",1993,"male","15-24 years",0,6069
"380","Antigua and Barbuda",1993,"male","25-34 years",1,6668
"381","Antigua and Barbuda",1993,"male","35-54 years",0,6915
"382","Antigua and Barbuda",1993,"male","5-14 years",0,7298
"383","Antigua and Barbuda",1993,"male","55-74 years",0,2879
"384","Antigua and Barbuda",1993,"male","75+ years",0,896
"385","Antigua and Barbuda",1994,"female","15-24 years",0,6083
"386","Antigua and Barbuda",1994,"female","25-34 years",0,7151
"387","Antigua and Barbuda",1994,"female","35-54 years",0,7357
"388","Antigua and Barbuda",1994,"female","5-14 years",0,7722
"389","Antigua and Barbuda",1994,"female","55-74 years",0,3715
"390","Antigua and Barbuda",1994,"female","75+ years",0,1437
"391","Antigua and Barbuda",1994,"male","15-24 years",0,5976
"392","Antigua and Barbuda",1994,"male","25-34 years",0,6886
"393","Antigua and Barbuda",1994,"male","35-54 years",0,7359
"394","Antigua and Barbuda",1994,"male","5-14 years",0,7494
"395","Antigua and Barbuda",1994,"male","55-74 years",0,2935
"396","Antigua and Barbuda",1994,"male","75+ years",0,929
"397","Antigua and Barbuda",1995,"female","15-24 years",0,6099
"398","Antigua and Barbuda",1995,"female","25-34 years",0,7333
"399","Antigua and Barbuda",1995,"female","35-54 years",0,7851
"400","Antigua and Barbuda",1995,"female","5-14 years",0,7885
"401","Antigua and Barbuda",1995,"female","55-74 years",0,3808
"402","Antigua and Barbuda",1995,"female","75+ years",0,1488
"403","Antigua and Barbuda",1995,"male","15-24 years",0,5953
"404","Antigua and Barbuda",1995,"male","25-34 years",0,7023
"405","Antigua and Barbuda",1995,"male","35-54 years",0,7809
"406","Antigua and Barbuda",1995,"male","5-14 years",0,7632
"407","Antigua and Barbuda",1995,"male","55-74 years",0,3021
"408","Antigua and Barbuda",1995,"male","75+ years",0,944
"409","Antigua and Barbuda",1998,"female","15-24 years",0,6529
"410","Antigua and Barbuda",1998,"female","25-34 years",0,8332
"411","Antigua and Barbuda",1998,"female","35-54 years",0,9615
"412","Antigua and Barbuda",1998,"female","5-14 years",0,8183
"413","Antigua and Barbuda",1998,"female","55-74 years",0,3921
"414","Antigua and Barbuda",1998,"female","75+ years",0,1476
"415","Antigua and Barbuda",1998,"male","15-24 years",0,5916
"416","Antigua and Barbuda",1998,"male","25-34 years",0,7294
"417","Antigua and Barbuda",1998,"male","35-54 years",0,9086
"418","Antigua and Barbuda",1998,"male","5-14 years",0,7706
"419","Antigua and Barbuda",1998,"male","55-74 years",0,3213
"420","Antigua and Barbuda",1998,"male","75+ years",0,954
"421","Antigua and Barbuda",1999,"female","15-24 years",0,6589
"422","Antigua and Barbuda",1999,"female","25-34 years",0,8526
"423","Antigua and Barbuda",1999,"female","35-54 years",0,10311
"424","Antigua and Barbuda",1999,"female","5-14 years",0,8314
"425","Antigua and Barbuda",1999,"female","55-74 years",0,3968
"426","Antigua and Barbuda",1999,"female","75+ years",0,1451
"427","Antigua and Barbuda",1999,"male","15-24 years",0,5845
"428","Antigua and Barbuda",1999,"male","25-34 years",0,7263
"429","Antigua and Barbuda",1999,"male","35-54 years",0,9537
"430","Antigua and Barbuda",1999,"male","5-14 years",0,7805
"431","Antigua and Barbuda",1999,"male","55-74 years",0,3276
"432","Antigua and Barbuda",1999,"male","75+ years",0,947
"433","Antigua and Barbuda",2000,"female","15-24 years",0,6616
"434","Antigua and Barbuda",2000,"female","25-34 years",0,8595
